order_date,customer_id,region,category,sales
08-11-2017,CG-12520,South,Furniture,261.96
08-11-2017,CG-12520,South,Furniture,731.94
12-06-2017,DV-13045,West,Office Supplies,14.62
11-10-2016,SO-20335,South,Furniture,957.5775
11-10-2016,SO-20335,South,Office Supplies,22.368
09-06-2015,BH-11710,West,Furniture,48.86
09-06-2015,BH-11710,West,Office Supplies,7.28
09-06-2015,BH-11710,West,Technology,907.152
09-06-2015,BH-11710,West,Office Supplies,18.504
09-06-2015,BH-11710,West,Office Supplies,114.9
09-06-2015,BH-11710,West,Furniture,1706.184
09-06-2015,BH-11710,West,Technology,911.424
15-04-2018,AA-10480,South,Office Supplies,15.552
05-12-2017,IM-15070,West,Office Supplies,407.976
22-11-2016,HP-14815,Central,Office Supplies,68.81
22-11-2016,HP-14815,Central,Office Supplies,2.544
11-11-2015,PK-19075,Central,Office Supplies,665.88
13-05-2015,AG-10270,West,Office Supplies,55.5
27-08-2015,ZD-21925,West,Office Supplies,8.56
27-08-2015,ZD-21925,West,Technology,213.48
27-08-2015,ZD-21925,West,Office Supplies,22.72
09-12-2017,KB-16585,Central,Office Supplies,19.46
09-12-2017,KB-16585,Central,Office Supplies,60.34
16-07-2018,SF-20065,East,Furniture,71.372
25-09-2016,EB-13870,West,Furniture,1044.63
16-01-2017,EH-13945,West,Office Supplies,11.648
16-01-2017,EH-13945,West,Technology,90.57
17-09-2016,TB-21520,East,Furniture,3083.43
17-09-2016,TB-21520,East,Office Supplies,9.618
17-09-2016,TB-21520,East,Furniture,124.2
17-09-2016,TB-21520,East,Office Supplies,3.264
17-09-2016,TB-21520,East,Office Supplies,86.304
17-09-2016,TB-21520,East,Office Supplies,6.858
17-09-2016,TB-21520,East,Office Supplies,15.76
19-10-2018,MA-17560,Central,Office Supplies,29.472
08-12-2017,GH-14485,Central,Technology,1097.544
08-12-2017,GH-14485,Central,Furniture,190.92
27-12-2016,SN-20710,Central,Office Supplies,113.328
